SP/180,SP/180　10387C-1, Fabric only,アイボリー,50,M,7.8,,,SP/180,,,,,3606
CH232W-03B,CH232W-03B,,CU37x2付き,10,set,166.8,,,CH232W-03B,,,,1.25,3613
CH232W-08B,CH232W-08B,,CU37x1付き,5,set,140.3,,,CH232W-08B,,,,1,3616
CH232W-09B,CH232W-09B,,CU37x1付き,3,set,140.3,,,CH232W-09B,,,,1,3617
CH232W-49B,CH232W-49B,,CU37x1付き,5,set,136.8,,,CH232W-49B,,,,1,3619
CH232W-50B,CH232W-50B,,CU37x1付き,5,set,136.8,,,CH232W-50B,,,,1,3620
CH261-03B,CH261-3PB+0.5PB,アクロス　ボディ,スツール同梱,6,sets,264.7,,,CH261-03B,,,,1.63,3621
CH271-35,CH271-35,Cushion（小）　マチルダ,,10,pcs,9.2,,,CH271-35,,,,0.02,3626
CH271E-03B,CH271E-03B,マチルダ,CU37x2付き,10,pcs,218.8,,,CH271E-03B,,,,1.18,4890
CH271E-08B,CH271E-08B,マチルダ,CU37x1付き,10,pcs,160.9,,,CH271E-08B,,,,0.98,4891
CH271E-09B,CH271E-09B,マチルダ,CU37x1付き,10,pcs,160.9,,,CH271E-09B,,,,0.98,4892
CH271E-17B,CH271E-17B,マチルダ　Stool ,,6,pcs,70.8,,,CH271E-17B,,,,0.18,4897
CH271E-41B,CH271E-41B,マチルダ,CU37x1付き,2,pcs,174.9,,,CH271E-41B,,,,1,4895
CH271E-49B,CH271E-49B,マチルダ,CU37x1付き,10,pcs,158,,,CH271E-49B,,,,0.98,4893
CH271E-50B,CH271E-50B,マチルダ,CU37x1付き,4,pcs,158,,,CH271E-50B,,,,0.98,4894
CH232W-35C SN/01,CH232W-35C SN/01,only cover レコルタⅡ（新仕様）,CHILI:01 （ﾍﾞｰｼﾞｭ）,5,pcs,6.9,,,CH232W-35C SN/01[CHILI-01],,,,0.0055,3722
CH232W-03C SN/02,CH232W-03C SN/02,only cover レコルタⅡ（新仕様）,CHILI:17 （ブラック）,1,set,51.7,,,CH232W-03C SN/02[CHILI-17],,,,0.0275,3726
CH232W-09C SN/02,CH232W-09C SN/02,only cover レコルタⅡ（新仕様）,CHILI:17 （ブラック）,2,set,46.3,,,CH232W-09C SN/02[CHILI-17],,,,0.0275,3730
